,Links,Title,Details,Rating,Price
0,,,,,
1,https://www.airbnb.com/rooms/27824909?adults=1&children=0&infants=0&pets=0&check_in=2022-12-10&check_out=2022-12-15&previous_page_section_name=1000,Apartment in Parchim,Parchim: Living in the Heart of the City,4.63 (8),$61 per night
2,https://www.airbnb.com/rooms/14077413?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-14&previous_page_section_name=1000,Cabin in Lübz,Log cabins to feel good,4.93 (174),$49 per night
3,https://www.airbnb.com/rooms/374538?adults=1&children=0&infants=0&pets=0&check_in=2022-12-10&check_out=2022-12-17&previous_page_section_name=1000,Home in Goldberg,Thatched Boathouse Goldberg,4.86 (49),$76 per night
4,https://www.airbnb.com/rooms/639644047681345914?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-15&previous_page_section_name=1000,Farm stay in Werder,Farm stay farm stay,5.0 (17),$66 per night
5,https://www.airbnb.com/rooms/34432863?adults=1&children=0&infants=0&pets=0&check_in=2022-12-15&check_out=2022-12-20&previous_page_section_name=1000,Apartment in Putlitz,Alte Brennerei Nettelbeck - ecologically renovated,4.98 (129),$67 per night
6,https://www.airbnb.com/rooms/10078779?adults=1&children=0&infants=0&pets=0&check_in=2022-12-17&check_out=2022-12-22&previous_page_section_name=1000,Home in Diestelow,Holiday home Meckl. Seenplatte,4.97 (87),$423 per night
7,https://www.airbnb.com/rooms/719389916924458911?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-15&previous_page_section_name=1000,Home in Techentin,Pure idyll: Farmhouse between Hamburg and Berlin,New,"$88 per night, originally $97"
8,https://www.airbnb.com/rooms/34237085?adults=1&children=0&infants=0&pets=0&check_in=2022-12-15&check_out=2022-12-20&previous_page_section_name=1000,Guest suite in Damm,Vacation rental Kaiser,4.93 (61),$45 per night
9,https://www.airbnb.com/rooms/575067385571468538?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-14&previous_page_section_name=1000,Apartment in Passow,Apartment Mecklenburger Seenplatte-Passower See,5.0 (12),$43 per night
10,https://www.airbnb.com/rooms/34954267?adults=1&children=0&infants=0&pets=0&check_in=2022-12-12&check_out=2022-12-17&previous_page_section_name=1000,Home in Grebbin,"Country house with studio (MalrausHaus), Mecklenburg",4.94 (35),$94 per night
11,https://www.airbnb.com/rooms/30284121?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-11&previous_page_section_name=1000,Guesthouse in Mustin,Small cottage in a quiet secluded location,4.97 (70),$49 per night
12,https://www.airbnb.com/rooms/13365466?adults=1&children=0&infants=0&pets=0&check_in=2022-12-19&check_out=2022-12-24&previous_page_section_name=1000,Home in Barkhagen,Modern country house,4.88 (90),$80 per night
13,https://www.airbnb.com/rooms/50278256?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-14&previous_page_section_name=1000,Condo in Techentin,Cozy apartment with idyllic garden,5.0 (61),$73 per night
14,https://www.airbnb.com/rooms/13850958?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Private room in Parchim,Living in quiet surroundings,4.82 (82),$55 per night
15,https://www.airbnb.com/rooms/53822269?adults=1&children=0&infants=0&pets=0&check_in=2022-12-12&check_out=2022-12-17&previous_page_section_name=1000,Condo in Holthusen,Modern one-room apartment with bathroom & kitchen,4.67 (12),"$33 per night, originally $37"
16,https://www.airbnb.com/rooms/35608850?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Farm stay in Neu Poserin,Settler house with its own sauna,4.82 (55),$65 per night
17,https://www.airbnb.com/rooms/651175325435470282?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Vacation home in Putlitz,"House retreat - 
here you can BE!",5.0 (8),$66 per night
18,https://www.airbnb.com/rooms/630888900533374203?adults=1&children=0&infants=0&pets=0&check_in=2022-12-17&check_out=2022-12-22&previous_page_section_name=1000,Townhouse in Plau am See,Sweet half-timbered house in the old town of Plau am See,4.94 (16),$105 per night
19,https://www.airbnb.com/rooms/705014700717945124?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Loft in Putlitz,Alte Distillerei Nettelbeck - new apartment ready,4.97 (63),$74 per night
20,https://www.airbnb.com/rooms/13365466?adults=1&children=0&infants=0&pets=0&check_in=2022-12-19&check_out=2022-12-24&previous_page_section_name=1000,Home in Barkhagen,Modern country house,4.66 (38),$80 per night
21,https://www.airbnb.com/rooms/24152172?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Apartment in Borkow,"Woserin, Holidays in the village by the lake",5.0 (3),$67 per night
22,https://www.airbnb.com/rooms/583147854736768854?adults=1&children=0&infants=0&pets=0&check_in=2022-12-11&check_out=2022-12-16&previous_page_section_name=1000,Condo in Ludwigslust,Sleep better in the next Unesco World Heritage Sauna,4.91 (43),$84 per night
23,https://www.airbnb.com/rooms/51940403?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Home in Gallin-Kuppentin,"Haus Pusteblume
Gallin-Kuppentin, OT. Zahren, MV",4.9 (20),"$82 per night, originally $92"
24,https://www.airbnb.com/rooms/53822269?adults=1&children=0&infants=0&pets=0&check_in=2022-12-12&check_out=2022-12-17&previous_page_section_name=1000,Condo in Holthusen,Modern one-room apartment with bathroom & kitchen,4.76 (116),"$33 per night, originally $37"
25,https://www.airbnb.com/rooms/42676781?adults=1&children=0&infants=0&pets=0&check_in=2023-01-05&check_out=2023-01-11&previous_page_section_name=1000,Home in Plau am See,Cozy cottage with lake view and fireplace,4.65 (47),$39 per night
26,https://www.airbnb.com/rooms/44094278?adults=1&children=0&infants=0&pets=0&check_in=2022-12-10&check_out=2022-12-16&previous_page_section_name=1000,Apartment in Gehlsbach,Vacation rental in Südmecklenburg,4.97 (60),$49 per night
27,https://www.airbnb.com/rooms/4266158?adults=1&children=0&infants=0&pets=0&check_in=2022-12-10&check_out=2022-12-17&previous_page_section_name=1000,Private room in Crivitz,cozy room in farmhouse,4.96 (212),"$32 per night, originally $35"
28,https://www.airbnb.com/rooms/5733576?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Loft in Passow OT Welzin,Stellmacherei at the Mecklenburg Lake District,4.79 (29),$82 per night
29,https://www.airbnb.com/rooms/742652162980655573?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Cottage in Langenhagen,Cozy country house nestled in nature,4.77 (125),$121 per night
30,https://www.airbnb.com/rooms/15137804?adults=1&children=0&infants=0&pets=0&check_in=2022-12-12&check_out=2022-12-18&previous_page_section_name=1000,Apartment in Wöbbelin,Apartment 2 in Fosthaus near Schwerin,5.0 (6),$53 per night
31,https://www.airbnb.com/rooms/11898366?adults=1&children=0&infants=0&pets=0&check_in=2023-01-16&check_out=2023-01-21&previous_page_section_name=1000,Tiny home in Warnow,"Relax in the construction car, no matter the weather",4.95 (75),$43 per night
32,https://www.airbnb.com/rooms/622818595660185467?adults=1&children=0&infants=0&pets=0&check_in=2022-12-18&check_out=2022-12-25&previous_page_section_name=1000,Vacation home in Banzkow,"Quiet, light-flooded apartment with Wi-Fi",4.99 (84),$36 per night
33,https://www.airbnb.com/rooms/622818595660185467?adults=1&children=0&infants=0&pets=0&check_in=2022-12-18&check_out=2022-12-25&previous_page_section_name=1000,Vacation home in Banzkow,"Quiet, light-flooded apartment with Wi-Fi",4.99 (68),$36 per night
34,https://www.airbnb.com/rooms/43503429?adults=1&children=0&infants=0&pets=0&check_in=2023-01-02&check_out=2023-01-07&previous_page_section_name=1000,Apartment in Wusterhausen/Dosse,Independent apartment in old village cinema,4.85 (48),$28 per night
35,https://www.airbnb.com/rooms/641816702238681365?adults=1&children=0&infants=0&pets=0&check_in=2022-12-10&check_out=2022-12-15&previous_page_section_name=1000,Bungalow in Wusterhausen/Dosse,Small cozy cottage,4.93 (76),$37 per night
36,https://www.airbnb.com/rooms/13755259?adults=1&children=0&infants=0&pets=0&check_in=2022-12-12&check_out=2022-12-17&previous_page_section_name=1000,Home in Wöbbelin,Apartment 1 in the forest house near Schwerin,4.81 (42),$53 per night
37,https://www.airbnb.com/rooms/723893709788487417?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-15&previous_page_section_name=1000,Apartment in Dorf Mecklenburg,Monteurwohnung in village Mecklenburg,4.92 (13),"$39 per night, originally $45"
38,https://www.airbnb.com/rooms/40913102?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Loft in Malchow,Luxury Industrial Loft directly at beautiful lake,4.58 (55),$145 per night
39,https://www.airbnb.com/rooms/43703769?adults=1&children=0&infants=0&pets=0&check_in=2023-04-11&check_out=2023-04-17&previous_page_section_name=1000,Cabin in Groß Wokern,Boat house at Schillersee,4.95 (42),$182 per night
40,https://www.airbnb.com/rooms/5733576?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Loft in Passow OT Welzin,Stellmacherei at the Mecklenburg Lake District,5.0 (18),$82 per night
41,https://www.airbnb.com/rooms/7217582?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-15&previous_page_section_name=1000,Home in Lohmen,"Fisherman's house: secluded location, close to the lake with boat - Whg. 1",5.0 (9),"$62 per night, originally $79"
42,https://www.airbnb.com/rooms/11054982?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Apartment in Weitendorf OT Kaarz,Studio apartment in studio house,4.88 (71),$58 per night
43,https://www.airbnb.com/rooms/23097251?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-14&previous_page_section_name=1000,Guest suite in Karstädt,"silent big flat, near a forrest.",4.9 (42),$41 per night
44,https://www.airbnb.com/rooms/766445416080042753?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-14&previous_page_section_name=1000,Apartment in Breese,Quartier Alte Schule Breese,5.0 (25),"$72 per night, originally $88"
45,https://www.airbnb.com/rooms/51379184?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-14&previous_page_section_name=1000,Bungalow in Grebbin,spacious bungalow on a large plot,4.67 (102),$110 per night
