,Link,Title,Subtitle,Price,Sale Price
0,,,,,
1,https://www.nike.com/t/daybreak-womens-shoes-qLjcF9/CK2351-101,Nike Daybreak,Women's Shoes,$95 ,$76.97 
2,https://www.nike.com/t/revolution-6-next-nature-mens-road-running-shoes-P4v173/DC3728-004,Nike Revolution 6 Next Nature,Men's Road Running Shoes,$70 ,$52.97 
3,https://www.nike.com/t/sportswear-essentials-womens-t-shirt-V6cpm9/DN5697-200,Nike Sportswear Essentials,Women's T-Shirt,$30 ,$22.97 
4,https://www.nike.com/t/sportswear-club-mens-graphic-shorts-hQgvng/BV2721-010,Nike Sportswear Club,Men's Graphic Shorts,$40 ,$30.97 
5,https://www.nike.com/t/star-runner-3-big-kids-road-running-shoes-2f5ZdC/DA2776-005,Nike Star Runner 3,Big Kids' Road Running Shoes,$55 ,$44.97 
6,https://www.nike.com/t/pro-dri-fit-big-kids-boys-short-sleeve-top-F59DFK/DM8528-010,Nike Pro Dri-FIT,Big Kids' (Boys') Short-Sleeve Top,$25 ,$18.97 
7,https://www.nike.com/t/air-zoom-pegasus-39-shield-mens-weatherized-road-running-shoes-MNDLg2/DO7625-200,Nike Air Zoom Pegasus 39 Shield,Men's Weatherized Road Running Shoes,$140 ,$126.97 
8,https://www.nike.com/t/go-flyease-easy-on-off-shoes-6nd2cc/CW5883-003,Nike Go FlyEase,Easy On/Off Shoes,$120 ,$96.97 
9,https://www.nike.com/t/kyrie-infinity-basketball-shoes-LvzsVp/CZ0204-005,Kyrie Infinity,Basketball Shoes,$140 ,$69.97 
10,https://www.nike.com/t/court-vision-low-shoes-4G3ZFr/CD5463-002,Nike Court Vision Low,Shoes,$70 ,$50.97 
11,https://www.nike.com/t/flex-control-4-mens-training-shoes-14Z62l/CD0197-002,Nike Flex Control 4,Men's Training Shoes,$65 ,$54.97 
12,https://www.nike.com/t/air-zoom-pegasus-38-womens-road-running-shoes-gg8GBK/CW7358-002,Nike Air Zoom Pegasus 38,Women's Road Running Shoes,$120 ,$72.97 
13,https://www.nike.com/t/air-force-1-07-premium-vintage-mens-shoes-qfvM3M/DO9785-200,Nike Air Force 1 '07 Premium Vintage,Men's Shoes,$150 ,$120.97 
14,https://www.nike.com/t/giannis-immortality-basketball-shoes-p9QlJF/CZ4099-800,Giannis Immortality,Basketball Shoes,$80 ,$58.97 
15,https://www.nike.com/t/jordan-brooklyn-fleece-mens-pullover-hoodie-jG54lf/DA9818-687,Jordan Brooklyn Fleece,Men's Pullover Hoodie,$60 ,$36.97 
16,https://www.nike.com/t/lebron-witness-6-basketball-shoes-HXbMw7/CZ4052-300,LeBron Witness 6,Basketball Shoes,$100 ,$76.97 
17,https://www.nike.com/t/flex-runner-2-lil-baby-toddler-shoes-z2Gmlv/DQ0575-100,Nike Flex Runner 2 Lil,Baby/Toddler Shoes,$45 ,$33.97 
18,https://www.nike.com/t/free-rn-2018-womens-running-shoes-zE8Je3/942837-001,Nike Free RN 2018,Women's Running Shoes,$100 ,$79.97 
19,https://www.nike.com/t/air-vapormax-2021-fk-mens-shoes-NpTfFz/DV2114-001,Nike Air VaporMax 2021 FK,Men's Shoes,$210 ,$131.97 
20,https://www.nike.com/t/air-max-axis-womens-shoes-cCWT9q/AA2168-100,Nike Air Max Axis,Women's Shoes,$90 ,$74.97 
21,https://www.nike.com/t/air-max-terrascape-90-mens-shoes-61rLc8/DM0033-003,Nike Air Max Terrascape 90,Men's Shoes,$140 ,$97.97 
22,https://www.nike.com/t/react-infinity-run-flyknit-2-womens-road-running-shoes-rfh6Z8/CT2423-002,Nike React Infinity Run Flyknit 2,Women's Road Running Shoes,$160 ,$105.97 
23,https://www.nike.com/t/force-1-little-kids-shoes-1nKpLk/DV1332-101,Nike Force 1,Little Kids' Shoes,$70 ,$59.97 
24,https://www.nike.com/t/air-monarch-iv-mens-training-shoes-5V1Vzg/415445-102,Nike Air Monarch IV,Men's Training Shoes,$75 ,$54.97 
25,https://www.nike.com/t/kyrie-flytrap-5-basketball-shoes-SVdwHV/CZ4100-101,Kyrie Flytrap 5,Basketball Shoes,$90 ,$76.97 
26,https://www.nike.com/t/free-run-2018-mens-road-running-shoes-RRT9elMk/942838-101,Nike Free Run 2018,Men's Road Running Shoes,$120 ,$99.97 
27,https://www.nike.com/t/lebron-19-low-basketball-shoes-jDSdw6/DH1270-100,LeBron 19 Low,Basketball Shoes,$160 ,$97.97 
28,https://www.nike.com/t/varsity-compete-tr-3-mens-training-shoes-tfHsXn/CJ0813-003,Nike Varsity Compete TR 3,Men's Training Shoes,$70 ,$54.97 
29,https://www.nike.com/t/air-force-1-gtx-mens-shoes-MXf3Lm/CT2858-001,Nike Air Force 1 GTX,Men's Shoes,$150 ,$121.97 
30,https://www.nike.com/t/air-max-97-womens-shoes-Fr6rM4/DH8016-600,Nike Air Max 97,Women's Shoes,$175 ,$126.97 
31,https://www.nike.com/t/force-1-lv8-baby-toddler-shoes-z87llH/DM4254-100,Nike Force 1 LV8,Baby/Toddler Shoes,$55 ,$37.97 
32,https://www.nike.com/t/jordan-brooklyn-fleece-mens-pants-11d5wf/DA9820-010,Jordan Brooklyn Fleece,Men's Pants,$60 ,$40.97 
33,https://www.nike.com/t/air-force-1-lv8-big-kids-shoes-9BMzKD/DX3933-100,Nike Air Force 1 LV8,Big Kids' Shoes,$90 ,$72.97 
34,https://www.nike.com/t/air-max-correlate-womens-shoes-29Vjp0/511417-153,Nike Air Max Correlate,Women's Shoes,$95 ,$69.97 
35,https://www.nike.com/t/little-posite-one-toddler-shoes-PZ3Xqd/DM1094-400,Nike Little Posite One,Toddler Shoes,$75 ,$47.97 
36,https://www.nike.com/t/kyrie-infinity-big-kids-basketball-shoes-hX4VKQ/DD0334-800,Kyrie Infinity,Big Kids' Basketball Shoes,$110 ,$65.97 
37,https://www.nike.com/t/air-max-bella-tr-5-womens-training-shoes-tLCg4B/DD9285-101,Nike Air Max Bella TR 5,Women's Training Shoes,$90 ,$76.97 
38,https://www.nike.com/t/react-phantom-run-flyknit-2-mens-running-shoes-7s5XTG/DQ7647-001,Nike React Phantom Run Flyknit 2,Men's Running Shoes,$140 ,$77.97 
39,https://www.nike.com/t/jordan-air-200e-womens-shoes-cQ3gd4/DH7381-080,Jordan Air 200E,Women's Shoes,$125 ,$96.97 
40,https://www.nike.com/t/revolution-5-mens-road-running-shoes-ZXqS6C/BQ3204-005,Nike Revolution 5,Men's Road Running Shoes,$65 ,$44.97 
41,https://www.nike.com/t/kyrie-low-5-basketball-shoes-t5rnLF/DJ6012-002,Kyrie Low 5,Basketball Shoes,$120 ,$61.97 
42,https://www.nike.com/t/little-posite-one-little-kids-shoes-MFQT9P/DM1095-400,Nike Little Posite One,Little Kids' Shoes,$100 ,$77.97 
43,https://www.nike.com/t/mercurial-vapor-14-elite-fg-firm-ground-soccer-cleats-Mq8RLH/DJ2837-007,Nike Mercurial Vapor 14 Elite FG,Firm-Ground Soccer Cleats,$250 ,$172.97 
44,https://www.nike.com/t/free-run-2018-mens-road-running-shoes-4VTnGqeZ/942836-100,Nike Free Run 2018,Men's Road Running Shoes,$100 ,$89.97 
45,https://www.nike.com/t/air-max-plus-shoes-x9G2xF/DM0032-800,Nike Air Max Plus,Shoes,$175 ,$148.97 
46,https://www.nike.com/t/air-force-1-crater-flyknit-next-nature-mens-shoes-bHdNmN/DM0590-100,Nike Air Force 1 Crater Flyknit Next Nature,Men's Shoes,$130 ,$99.97 
47,https://www.nike.com/t/air-pegasus-83-premium-mens-shoes-frQ2Gk/DX3738-400,Nike Air Pegasus 83 Premium,Men's Shoes,$105 ,$89.97 
48,https://www.nike.com/t/blazer-mid-77-big-kids-shoes-WVjMV7/DX3070-100,Nike Blazer Mid '77,Big Kids' Shoes,$95 ,$65.97 
49,https://www.nike.com/t/air-max-90-mens-shoes-DLDWPT/DM0029-004,Nike Air Max 90,Men's Shoes,$130 ,$95.97 
50,https://www.nike.com/t/air-max-excee-womens-shoes-jKsgMj/DX3315-043,Nike Air Max Excee,Women's Shoes,$100 ,$77.97 
51,https://www.nike.com/t/air-max-270-big-kids-shoes-HbtNX3/DX3347-100,Nike Air Max 270,Big Kids' Shoes,$130 ,$107.97 
52,https://www.nike.com/t/flex-experience-run-11-next-nature-mens-road-running-shoes-chtrh2/DD9284-300,Nike Flex Experience Run 11 Next Nature,Men's Road Running Shoes,$70 ,$39.97 
53,https://www.nike.com/t/force-1-lv8-next-nature-baby-toddler-shoes-lMr1TM/DM1009-700,Nike Force 1 LV8 Next Nature,Baby/Toddler Shoes,$55 ,$44.97 
54,https://www.nike.com/t/eclipse-womens-running-shorts-plus-size-4kb4gv/DM3472-824,Nike Eclipse,Women's Running Shorts (Plus Size),$50 ,$25.97 
55,https://www.nike.com/t/air-zoom-flight-95-mens-shoes-zc42bP/DX3954-100,Nike Air Zoom Flight 95,Men's Shoes,$185 ,$95.97 
56,https://www.nike.com/t/pro-dri-fit-flex-mens-6-training-shorts-B9R0FQ/DM5952-010,Nike Pro Dri-FIT Flex,"Men's 6"" Training Shorts",$68 ,$57.97 
57,https://www.nike.com/t/pro-dri-fit-mens-3-4-tights-btNG9H/DD1919-657,Nike Pro Dri-FIT,Men's 3/4 Tights,$32 ,$24.97 
58,https://www.nike.com/t/jordan-essentials-mens-printed-shorts-ZGpDB5/DM1357-392,Jordan Essentials,Men's Printed Shorts,$55 ,$32.97 
59,https://www.nike.com/t/sportswear-club-big-kids-tie-dye-shorts-kXnTgp/DV0063-634,Nike Sportswear Club,Big Kids' Tie-Dye Shorts,$40 ,$23.97 
60,https://www.nike.com/t/court-vision-mid-next-nature-mens-shoes-j5K4rb/DN3577-001,Nike Court Vision Mid Next Nature,Men's Shoes,$85 ,$68.97 
61,https://www.nike.com/t/yoga-therma-fit-luxe-womens-top-plus-size-rL4L5z/DX6375-104,Nike Yoga Therma-FIT Luxe,Women's Top (Plus Size),$140 ,$119.97 
62,https://www.nike.com/t/sportswear-essential-womens-mid-rise-bike-shorts-plus-size-KRdVbd/DC6949-827,Nike Sportswear Essential,Women's Mid-Rise Bike Shorts (Plus Size),$35 ,$20.97 
63,https://www.nike.com/t/air-max-2021-womens-shoes-CkfHnZ/DA1923-500,Nike Air Max 2021,Womens Shoes,$160 ,$117.97 
64,https://www.nike.com/t/dri-fit-epic-mens-knit-training-pants-lMDXpd/DM6597-010,Nike Dri-FIT Epic,Men's Knit Training Pants,$48 ,$38.97 
65,https://www.nike.com/t/womens-t-shirt-WGW0Cj/W11942P610N-10A,Nike,Women's T-Shirt,$25 ,$21.97 
66,https://www.nike.com/t/one-luxe-womens-mid-rise-7-8-leggings-86pP4J/BQ9994-068,Nike One Luxe,Women's Mid-Rise 7/8 Leggings,$90 ,$54.97 
67,https://www.nike.com/t/culture-of-basketball-big-kids-boys-warm-up-shirt-Nz1jsM/DQ8947-657,Nike Culture of Basketball,Big Kids' (Boys') Warm-Up Shirt,$62 ,$46.97 
68,https://www.nike.com/t/fe-nom-flyknit-womens-high-support-non-padded-sports-bra-eoTVDqL3/AJ4047-011,Nike FE/NOM Flyknit,Women's High-Support Non-Padded Sports Bra,$80 ,$50.97 
69,https://www.nike.com/t/kyrie-mens-pullover-basketball-hoodie-gvFW6n/DQ6111-217,Kyrie,Men's Pullover Basketball Hoodie,$100 ,$85.97 
70,https://www.nike.com/t/therma-fit-big-kids-boys-printed-pullover-hoodie-7WvPz4/DV3234-010,Nike Therma-FIT,Big Kids' (Boys') Printed Pullover Hoodie,$52 ,$40.97 
71,https://www.nike.com/t/dri-fit-legend-mens-long-sleeve-fitness-top-StC1Ng/DX0993-032,Nike Dri-FIT Legend,Men's Long-Sleeve Fitness Top,$32 ,$28.97 
72,https://www.nike.com/t/dri-fit-one-big-kids-girls-leggings-FgZr6N/DQ8836-696,Nike Dri-FIT One,Big Kids' (Girls') Leggings,$30 ,$23.97 
73,https://www.nike.com/t/swoosh-womens-medium-support-1-piece-pad-high-neck-sports-bra-0C2GCQ/DD1199-493,Nike Swoosh,Women’s Medium-Support 1-Piece Pad High-Neck Sports Bra,$45 ,$27.97 
74,https://www.nike.com/t/womens-slider-softball-shorts-18nmmv/AV6633-100,Nike,Women's Slider Softball Shorts,$35 ,$26.97 
75,https://www.nike.com/t/nikecourt-air-zoom-vapor-pro-mens-hard-court-tennis-shoes-wPkbb5/CZ0220-800,NikeCourt Air Zoom Vapor Pro,Men's Hard Court Tennis Shoes,$120 ,$102.97 
76,https://www.nike.com/t/pro-dri-fit-womens-1-4-zip-packable-training-cover-up-h9rB2c/DM6944-738,Nike Pro Dri-FIT,Women's 1/4-Zip Packable Training Cover-Up,$75 ,$49.97 
77,https://www.nike.com/t/dri-fit-element-womens-running-crew-dbdxH2/CU3277-871,Nike Dri-FIT Element,Women's Running Crew,$58 ,$49.97 
78,https://www.nike.com/t/omni-multi-court-little-kids-shoes-R4N8R3/DM9026-004,Nike Omni Multi-Court,Little Kids' Shoes,$55 ,$46.97 
79,https://www.nike.com/t/nikecourt-zoom-pro-womens-hard-court-tennis-shoes-jh9bd2/DH0990-104,NikeCourt Zoom Pro,Women's Hard Court Tennis Shoes,$100 ,$85.97 
80,https://www.nike.com/t/dri-fit-one-elastika-womens-standard-fit-tank-plus-size-xhMP2p/DN2259-073,Nike Dri-FIT One Elastika,Women's Standard Fit Tank (Plus Size),$35 ,$18.97 
